,MTBS_FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,STAT_CAUSE_DESCR,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
0,POWER,2004,2453284.5,Equipment Use,2453299.5,16823.0,38.52333333,-120.21166667,CA
1,FREDS,2004,2453291.5,Equipment Use,2453295.5,7700.0,38.78,-120.26,CA
2,THREE FIRE COMPLEX (THREE),2005,2453542.5,Lightning,2453550.5,16100.0,33.72333333,-111.275,AZ
3,NINE,2005,2453560.5,Miscellaneous,2453561.5,1149.0,35.68805556,-118.43833333,CA
4,OAK,2005,2453567.5,Lightning,2453571.5,1300.0,33.93361111,-111.37972222,AZ
5,TW0 BAR,2005,2453570.5,Lightning,2453576.5,2093.0,33.55111111,-111.10666667,AZ
6,SAWMILL GULCH,2005,2453465.5,Lightning,2453469.5,1199.0,45.30833333,-106.35833333,MT
7,FORK WFU,2005,2453519.5,Lightning,2453611.5,11936.0,33.61333333,-108.55888889,NM
8,ERICKSON SPRING,2005,2453604.5,Lightning,2453614.5,2700.0,45.44833333,-105.95527778,MT
9,MASON,2005,2453558.5,Lightning,2453567.5,11357.0,38.16972222,-105.03805556,CO
10,BURNT CABIN,2005,2453596.5,Miscellaneous,2453624.5,1977.0,45.84083333,-118.06777778,OR
11,RICCO,2005,2453559.5,Lightning,2453585.5,3959.0,44.19361111,-103.39388889,SD
12,CEMENT,2005,2453574.5,Lightning,2453578.5,3025.0,44.37194444,-104.17416667,WY
13,CADAGAN COMPLEX (HALE GULCH),2005,2453588.5,Lightning,2453605.5,2643.0,45.38805556,-114.21,ID
14,SNAKE RIDGE,2005,2453543.5,Lightning,2453555.5,1900.0,33.16972222,-109.19055556,AZ
15,STODDARD CREEK POINT,2005,2453588.5,Lightning,2453669.5,4004.0,45.24861111,-114.72277778,ID
16,BIG SANDS WFU,2005,2453598.5,Lightning,2453650.5,2398.0,46.3425,-114.58777778,ID
17,ALPINE LAKE,2005,2453588.5,Lightning,2453590.5,1335.0,48.14,-90.96777778,MN
18,RUNNING COMPLEX (RUNNING LAKE),2005,2453592.5,Lightning,2453643.5,7404.0,45.92333333,-115.025,ID
19,CEDAR BAREFOOT,2005,2453580.5,Lightning,2453669.5,1777.5,45.88083333,-114.63972222,ID
20,LODGEPOLE HUMP,2005,2453581.5,Lightning,2453674.5,1981.5,46.69611111,-114.90138889,ID
21,DAMMERON COMPLEX (MILL CREEK),2005,2453571.5,Lightning,2453573.5,7892.0,37.17388889,-113.53833333,UT
22,BOXCAR,2005,2453601.5,Lightning,2453622.5,1818.0,45.92777778,-114.95833333,ID
23,SELWAY-SALMON COMPLEX (BEAVERJACK),2005,2453583.5,Lightning,2453674.5,7244.4,45.73027778,-114.70666667,ID
24,BURNT STRIP MOUNTAIN,2005,2453595.5,Lightning,2453671.5,4530.0,45.7,-115.01,ID
25,CHINA TEN,2005,2453591.5,Lightning,2453626.5,1859.0,45.93222222,-115.78583333,ID
26,HARDING,2005,2453606.5,Miscellaneous,2453622.5,2270.0,39.61222222,-120.35166667,CA
